品牌,商品名稱,尺寸原文,外徑長_cm,外徑寬_cm,外徑高_cm,內徑長_cm,內徑寬_cm,內徑高_cm,材質,顏色,價格,幣別,風格,圖片,來源連結,備註,原始品牌分類,創建日期,更新日期
DAISO,卡牌收納盒/2入,9.9 x 3.6 x 7.7 cm,9.9,3.6,7.7,,,,未標示,未標示,49,TWD,小型透明/日常收納,,https://shop.daiso.com.tw/pages/daiso01-1,官方列表標示日本製；材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 居家收納,2026-07-15,2026-07-15
DAISO,B6小物收納盒,未標示,,,,,,,未標示,未標示,49,TWD,小型日常收納,,https://shop.daiso.com.tw/pages/daiso01-1,官方列表顯示售完；尺寸與材質待商品詳頁確認,收納/掃除 > 居家收納,2026-07-15,2026-07-15
DAISO,分隔收納盒,17.5 x 28 x 4.5 cm,17.5,28,4.5,,,,未標示,未標示,99,TWD,低高度分隔收納,,https://shop.daiso.com.tw/pages/daiso01-1,官方列表顯示售完；材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 居家收納,2026-07-15,2026-07-15
DAISO,DAISO可堆疊分隔收納盒,10.7 x 15.2 x 8.3 cm,10.7,15.2,8.3,,,,未標示,未標示,49,TWD,可堆疊/分隔,,https://shop.daiso.com.tw/pages/daiso01-1,官方列表標示日本製；材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 居家收納,2026-07-15,2026-07-15
DAISO,透明附蓋收納盒,28 x 19 x 14.5 cm,28,19,14.5,,,,未標示,透明,99,TWD,透明/附蓋,,https://shop.daiso.com.tw/pages/daiso01-1,官方列表顯示TOP10與售完；材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 居家收納,2026-07-15,2026-07-15
DAISO,DAISO可堆疊收納盒,10.7 x 15.2 x 8.3 cm,10.7,15.2,8.3,,,,未標示,未標示,49,TWD,可堆疊,,https://shop.daiso.com.tw/pages/daiso01-1,官方列表標示日本製；材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 居家收納,2026-07-15,2026-07-15
DAISO,DAISO可堆疊收納盒,15.2 x 21.5 x 8.3 cm,15.2,21.5,8.3,,,,未標示,未標示,49,TWD,可堆疊,,https://shop.daiso.com.tw/pages/daiso01-1,官方列表標示日本製；材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 居家收納,2026-07-15,2026-07-15
DAISO,DAISO可堆疊附蓋收納盒,21.5 x 15.5 x 9.9 cm,21.5,15.5,9.9,,,,未標示,未標示,69,TWD,可堆疊/附蓋,,https://shop.daiso.com.tw/pages/daiso01-1,官方列表標示日本製；材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 居家收納,2026-07-15,2026-07-15
DAISO,折疊式提把收納籃,38 x 25 x 20.4 cm,38,25,20.4,,,,未標示,未標示,99,TWD,折疊/提把,,https://shop.daiso.com.tw/pages/daiso01-14,官方列表顯示售完；材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 折疊收納盒,2026-07-15,2026-07-15
DAISO,折疊式提把收納籃,47.8 x 34.9 x 24.5 cm,47.8,34.9,24.5,,,,未標示,未標示,139,TWD,折疊/提把,,https://shop.daiso.com.tw/pages/daiso01-14,材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 折疊收納盒,2026-07-15,2026-07-15
DAISO,工業風折疊收納籃/灰,30 x 12.3 x 20 cm,30,12.3,20,,,,未標示,灰,69,TWD,工業風/折疊,,https://shop.daiso.com.tw/pages/daiso01-14,材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 折疊收納盒,2026-07-15,2026-07-15
DAISO,折疊收納箱/附隔板 牛仔風,27 x 19 x 16 cm,27,19,16,,,,未標示,牛仔風,99,TWD,布製/牛仔風/折疊,,https://shop.daiso.com.tw/pages/daiso01-14,材質與圖片待商品詳頁確認；外徑依尺寸原文順序拆分,收納/掃除 > 折疊收納盒,2026-07-15,2026-07-15
MUJI無印良品,聚丙烯收納盒 橫式 淺型,37 x 26 x 12 cm,37,26,12,,,,聚丙烯,半透明,,TWD,極簡/透明/可堆疊,,https://www.muji.com/tw/zh_tw/store/cmdty/section/S20015,台灣官方商品頁目前連線逾時；先保留為待驗證樣本，價格與圖片待人工確認；外徑依尺寸原文順序拆分,收納用品 > 聚丙烯收納,2026-07-15,2026-07-15
MUJI無印良品,聚丙烯收納盒 橫式 標準型,37 x 26 x 17.5 cm,37,26,17.5,,,,聚丙烯,半透明,,TWD,極簡/透明/可堆疊,,https://www.muji.com/tw/zh_tw/store/cmdty/section/S20015,台灣官方商品頁目前連線逾時；先保留為待驗證樣本，價格與圖片待人工確認；外徑依尺寸原文順序拆分,收納用品 > 聚丙烯收納,2026-07-15,2026-07-15
